word	1	2	3	4	5	6	7	8	9
стол	0.639184	0.629388	0.691429	0.549388	0.683265	0.714286	0.673469	0.725714	0.714286
страх	0.44	0.505306	0.596735	0.676735	0.523265	0.595102	0.552653	0.598367	0.549388
стул	0.533061	0.714286	0.737143	0.634286	0.733878	0.751837	0.666939	0.755102	0.717551
тахта	0.756735	0.6	0.497143	0.604898	0.671837	0.773061	0.773061	0.826939	0.769796
телега	0.472653	0.691429	0.696327	0.792653	0.799184	0.763265	0.755102	0.877551	0.781224
теоретический	0.475918	0.469388	0.49551	0.645714	0.697959	0.706122	0.611429	0.737143	0.714286
торговец	0.629388	0.68	0.733878	0.769796	0.738776	0.72898	0.671837	0.714286	0.758367
тоскливый	0.546122	0.591837	0.629388	0.536327	0.404082	0.65551	0.606531	0.743673	0.71102
тревожный	0.560816	0.642449	0.539592	0.724082	0.603265	0.617959	0.604898	0.724082	0.644082
трудный	0.528163	0.555918	0.657143	0.613061	0.644082	0.583673	0.506939	0.57551	0.567347
тьма	0.49551	0.57551	0.627755	0.578776	0.642449	0.727347	0.756735	0.751837	0.745306
убедительность	0.524898	0.57551	0.552653	0.645714	0.68	0.691429	0.755102	0.799184	0.753469
убеждение	0.518367	0.529796	0.515102	0.616327	0.64898	0.750204	0.733878	0.70449	0.639184
убийство	0.516735	0.595102	0.505306	0.737143	0.626122	0.676735	0.683265	0.750204	0.774694
удивление	0.580408	0.666939	0.614694	0.555918	0.658776	0.724082	0.733878	0.730612	0.773061
ужас	0.528163	0.629388	0.707755	0.761633	0.751837	0.709388	0.696327	0.825306	0.826939
указ	0.686531	0.733878	0.712653	0.717551	0.805714	0.733878	0.565714	0.745306	0.663673
унизительный	0.552653	0.485714	0.529796	0.62449	0.724082	0.564082	0.62449	0.712653	0.720816
уплата	0.48898	0.650612	0.709388	0.804082	0.818776	0.766531	0.565714	0.63102	0.818776
устав	0.515102	0.524898	0.506939	0.665306	0.62449	0.737143	0.72898	0.761633	0.781224
усталость	0.428571	0.609796	0.668571	0.601633	0.696327	0.650612	0.611429	0.63102	0.63102
утро	0.662041	0.717551	0.727347	0.746939	0.72898	0.733878	0.727347	0.745306	0.810612
